"OePNV","kiezblocks","Fahrrad","fahrenderVerkehr","DRT","Parkraum","CO2","Kosten","traffic","parking","KostenProKopf"
"base","base","base","MautFuerAlle","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.93e+09,0.1,0.1,-507.894736842105
"dekarbonisiert","base","base","MautFuerAlle","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.88e+09,0.1,0.1,-494.736842105263
"base","ganze Stadt","base","MautFuerAlle","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.92e+09,0.1,0.1,-505.263157894737
"dekarbonisiert","ganze Stadt","base","MautFuerAlle","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.87e+09,0.1,0.1,-492.105263157895
"base","base","stark","MautFuerAlle","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.86e+09,0.1,0.1,-489.473684210526
"dekarbonisiert","base","stark","MautFuerAlle","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.81e+09,0.1,0.1,-476.315789473684
"base","ganze Stadt","stark","MautFuerAlle","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.85e+09,0.1,0.1,-486.842105263158
"dekarbonisiert","ganze Stadt","stark","MautFuerAlle","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.1,-1.8e+09,0.1,0.1,-473.684210526316
"base","base","base","zeroEmissionsZone","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0119404,-4.7e+08,0.2,0.2,-123.684210526316
"dekarbonisiert","base","base","zeroEmissionsZone","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0019404,-4.2e+08,0.2,0.2,-110.526315789474
"base","ganze Stadt","base","zeroEmissionsZone","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0117424,-4.6e+08,0.2,0.2,-121.052631578947
"dekarbonisiert","ganze Stadt","base","zeroEmissionsZone","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0017424,-4.1e+08,0.2,0.2,-107.894736842105
"base","base","stark","zeroEmissionsZone","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0117424,-4e+08,0.2,0.2,-105.263157894737
"dekarbonisiert","base","stark","zeroEmissionsZone","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0017424,-3.5e+08,0.2,0.2,-92.1052631578947
"base","ganze Stadt","stark","zeroEmissionsZone","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0115642,-3.9e+08,0.2,0.2,-102.631578947368
"dekarbonisiert","ganze Stadt","stark","zeroEmissionsZone","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0015642,-3.4e+08,0.2,0.2,-89.4736842105263
"base","base","base","zeroEmissionsZonePlusMaut","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0119404,-4.7e+08,0.1,0.1,-123.684210526316
"dekarbonisiert","base","base","zeroEmissionsZonePlusMaut","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0019404,-4.2e+08,0.1,0.1,-110.526315789474
"base","ganze Stadt","base","zeroEmissionsZonePlusMaut","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0117424,-4.6e+08,0.1,0.1,-121.052631578947
"dekarbonisiert","ganze Stadt","base","zeroEmissionsZonePlusMaut","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0017424,-4.1e+08,0.1,0.1,-107.894736842105
"base","base","stark","zeroEmissionsZonePlusMaut","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0117424,-4e+08,0.1,0.1,-105.263157894737
"dekarbonisiert","base","stark","zeroEmissionsZonePlusMaut","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0017424,-3.5e+08,0.1,0.1,-92.1052631578947
"base","ganze Stadt","stark","zeroEmissionsZonePlusMaut","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0115642,-3.9e+08,0.1,0.1,-102.631578947368
"dekarbonisiert","ganze Stadt","stark","zeroEmissionsZonePlusMaut","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.0015642,-3.4e+08,0.1,0.1,-89.4736842105263
"base","base","base","autofrei","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.01,-4.7e+08,0,0,-123.684210526316
"dekarbonisiert","base","base","autofrei","ganzeStadt","Besucher_teuer_Anwohner_teuer",0,-4.2e+08,0,0,-110.526315789474
"base","ganze Stadt","base","autofrei","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.01,-4.6e+08,0,0,-121.052631578947
"dekarbonisiert","ganze Stadt","base","autofrei","ganzeStadt","Besucher_teuer_Anwohner_teuer",0,-4.1e+08,0,0,-107.894736842105
"base","base","stark","autofrei","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.01,-4e+08,0,0,-105.263157894737
"dekarbonisiert","base","stark","autofrei","ganzeStadt","Besucher_teuer_Anwohner_teuer",0,-3.5e+08,0,0,-92.1052631578947
"base","ganze Stadt","stark","autofrei","ganzeStadt","Besucher_teuer_Anwohner_teuer",0.01,-3.9e+08,0,0,-102.631578947368
"dekarbonisiert","ganze Stadt","stark","autofrei","ganzeStadt","Besucher_teuer_Anwohner_teuer",0,-3.4e+08,0,0,-89.4736842105263
